landevej	road
kernen	core
kernen	kernel
kat	cat
bestyrelsesformand	chairman
designer	designer
server	server
grundlov	constitution
aktier	shares
topscorer	topscorer
tomme	inch
ministre	ministers
flertallet	majority
benzin	petrol
benzin	gas
benzin	gasoline
forretning	shop
forretning	business
opposition	opposition
flyvning	flight
understøttelse	support
indgangen	entrance
traktat	treaty
restaurering	restoration
grønt	green
effekter	effects
arealer	areas
krigsskibe	warships
salget	sale
infrastruktur	infrastructure
hjemmesiden	website
forsvarer	defender
protestantiske	protestant
protester	protests
kvarteret	neighborhood
hjul	wheel
hjul	wheels
dialekter	dialects
elleve	eleven
udtale	pronunciation
høst	harvest
nul	zero
nul	nil
efterfølgeren	successor
behandlingen	treatment
vrede	anger
vrede	wrath
vrede	rage
medaljen	medal
udbruddet	outbreak
køber	buyer
beskrivelser	descriptions
letlands	latvia
letlands	latvian
nova	nova
tilstedeværelse	presence
voksen	adult
tempel	temple
ordrer	orders
hovedkontor	headquarters
granit	granite
boldspil	ballgame
streng	string
nøgle	key
kopier	copies
tillid	confidence
tillid	trust
fortolkning	interpretation
søstre	sisters
svampe	mushrooms
svampe	fungi
svampe	sponges
brændstof	fuel
sandheden	truth
speciale	specialty
midte	middle
løsninger	solutions
forbrydelser	crimes
undervisningen	teaching
opvækst	upbringing
normer	norms
normer	standards
forbedringer	improvements
sind	mind
sind	minds
etaper	phases
etaper	stages
industrien	industry
rør	pipe
rør	tube
rør	tubes
rør	pipes
valuta	currency
nomineringer	nominations
dialog	dialogue
dialog	dialog
kapital	capital
dokumentation	documentation
hal	hall
krateret	crater
årgang	vintage
hat	hat
reklamer	advertisements
reklamer	ads
flyder	float
forvaltning	management
forvaltning	administration
forvaltning	governance
curling	curling
selvbiografi	autobiography
kontorer	offices
introduktion	introduction
introduktion	intro
forstærkninger	reinforcements
cello	cello
territorier	territories
løve	lion
operationen	operation
aftaler	deals
aftaler	contracts
aftaler	appointments
aftaler	agreements
spænding	excitement
spænding	tension
spænding	suspense
spænding	voltage
kontrakten	contract
planlægning	scheduling
planlægning	planning
planlægning	programming
ubåde	submarines
ubåde	subs
fløjte	flute
racen	breed
delstater	länder
delstater	lander
sammenlægning	merger
sammenlægning	aggregation
zoo	zoo
opbakning	backing
indsigt	insight
meddelelser	notices
meddelelser	notifications
meddelelser	messages
meddelelser	communications
måne	moon
regn	rain
nedbør	rainfall
nedbør	precipitation
bibliografi	bibliography
kræft	cancer
strækninger	stretches
dynasti	dynasty
dagbog	journal
dagbog	diary
nevø	nephew
journalister	journalists
journalister	reporters
etage	floor
poesi	poetry
sektion	section
mil	mile
mil	miles
udkanten	outskirts
ideologi	ideology
udvalget	committee
byområde	conurbation
væske	fluid
væske	liquid
konklusion	conclusion
mursten	bricks
mursten	brick
forfatningen	constitution
lejr	camp
sum	sum
tove	ropes
skygge	shadow
skygge	shade
passage	crossing
passage	passage
videoen	video
torv	square
eksperimenter	experiments
måler	meter
skift	shift
skift	switch
skift	change
skift	shifts
ordning	scheme
ordning	arrangements
ordning	system
ordning	arrangement
klint	cliff
udvides	expands
bnp	gdp
døre	doors
output	output
båden	boat
overskud	profit
overskud	surpluses
overskud	surplus
overskud	profits
ris	rice
barnebarn	grandchild
forstæder	suburbs
færgen	ferry
begravelse	burial
begravelse	funeral
nederlaget	defeat
forandring	change
følelse	emotion
følelse	feeling
rygter	rumour
rygter	rumors
rygter	rumor
rygter	rumours
stiftelse	foundation
stiftelse	formation
strukturer	structures
guderne	gods
billedtekst	caption
giro	giro
tilbagetrækning	withdrawal
mus	mice
mus	mouse
virkelighed	reality
grundloven	constitution
kemiker	chemist
beretninger	reports
planerne	plans
gravsted	grave
teknikker	techniques
marker	fields
marker	parcels
marker	mark
baseball	baseball
fabrikant	manufacturer
porto	postage
svaret	answer
dæk	tyres
dæk	tire
dæk	deck
dæk	cover
dæk	tires
dæk	tyre
kanten	edge
discipliner	disciplines
duo	duo
opdeling	breakdown
opdeling	division
kansler	chancellor
kaffe	coffee
godser	estates
gulvet	floor
markeder	markets
skulpturer	sculptures
brande	fires
partikler	particles
partikler	particulates
faktum	fact
sjæl	soul
svare	respond
menighed	congregation
aktion	action
tung	heavy
måner	moons
sigt	aim
essays	essays
indslag	segment
autoritet	authority
måneden	month
plantage	plantation
kvæg	bovine
kvæg	cattle
revolutionære	revolutionary
revolutionære	revolutionaries
redigering	editing
fugl	bird
celle	cell
download	download
anliggender	affairs
vidnesbyrd	testimony
vidnesbyrd	testimonies
sammenstød	clashes
sammenstød	collision
sammenstød	clash
sammenstød	collisions
gearkasse	transmission
gearkasse	gearbox
jagerfly	fighters
borger	citizen
engel	angel
myter	myths
frivillig	volunteer
frost	frost
sting	stitch
sting	stitches
antikken	antiquity
ler	clay
fotografi	photograph
fotografi	photography
